device_type,budget_range,use_case,brand_preference,screen_size_pref,chosen_device
Mobile,30000-40000,Gaming,ONEPLUS,NA,ONEPLUS 13R 5G
Mobile,30000-40000,Business,SAMSUNG,NA,SAMSUNG A56 5G
Mobile,30000-40000,Entertainment,ONEPLUS,NA,ONEPLUS NORD 5 5G
Mobile,30000-40000,Battery-Life,REALME,NA,REALME GT7 5G
Mobile,30000-40000,Gaming,ONEPLUS,NA,ONEPLUS NORD 5G
Mobile,30000-40000,Camera,SAMSUNG,NA,SAMSUNG S24 FE
Mobile,30000-40000,Gaming,IQOO,NA,IQOO NEO 10 5G
Mobile,30000-40000,Gaming,REALME,NA,REALME GT7 5G
Mobile,30000-40000,Camera,OPPO,NA,OPPO RENO 14
Mobile,40000-50000,Camera,GOOGLE,NA,GOOGLE PIXEL 9A
Mobile,40000-50000,Business,APPLE,NA,APPLE IPHONE 14
Mobile,40000-50000,Entertainment,MOTO,NA,MOTO RAZR 60
Mobile,40000-50000,Battery-Life,REALME,NA,REALME GT 7 PRO 5G
Mobile,40000-50000,Camera,SAMSUNG,NA,SAMSUNG S24
Mobile,40000-50000,Gaming,IQOO,NA,IQOO 12
Mobile,40000-50000,Gaming,REALME,NA,REALME GT 7 PRO
Mobile,40000-50000,Camera,OPPO,NA,OPPO RENO 14 PRO
Mobile,50000-60000,Camera,ONEPLUS,NA,ONEPLUS 13S
Mobile,50000-60000,Business,ONEPLUS,NA,ONEPLUS 13S
Mobile,50000-60000,Entertainment,ONEPLUS,NA,ONEPLUS 13S
Mobile,50000-60000,Battery-Life,VIVO,NA,VIVO X200 FE
Mobile,50000-60000,Camera,GOOGLE,NA,GOOGLE PIXEL 9
Mobile,50000-60000,Camera,VIVO,NA,VIVO X200 FE
Mobile,50000-60000,Gaming,IQOO,NA,IQOO 13
Mobile,50000-60000,Gaming,APPLE,NA,APPLE IPHONE 15
Mobile,50000-60000,Camera,APPLE,NA,APPLE IPHONE 15
Mobile,50000-60000,Gaming,APPLE,NA,APPLE IPHONE 16
Mobile,50000-60000,Camera,APPLE,NA,APPLE IPHONE 16
Mobile,50000-60000,Gaming,ONEPLUS,NA,ONEPLUS 13S
Mobile,60000-80000,Camera,APPLE,NA,APPLE IPHONE 17
Mobile,60000-80000,Business,SAMSUNG,NA,SAMSUNG S24 ULTRA
Mobile,60000-80000,Entertainment,SAMSUNG,NA,SAMSUNG S23 ULTRA
Mobile,60000-80000,Battery-Life,ONEPLUS,NA,ONEPLUS 13
Mobile,60000-80000,Camera,SAMSUNG,NA,SAMSUNG S25 5G
Mobile,60000-80000,Gaming,ONEPLUS,NA,ONEPLUS 13
Mobile,60000-80000,Gaming,SAMSUNG,NA,SAMSUNG S23 ULTRA
Mobile,60000-80000,Camera,SAMSUNG,NA,SAMSUNG S24 5G
Mobile,60000-80000,Gaming,APPLE,NA,APPLE IPHONE 17
Mobile,60000-80000,Gaming,SAMSUNG,NA,SAMSUNG S24 ULTRA
Mobile,60000-80000,Camera,GOOGLE,NA,GOOGLE PIXEL 10
Mobile,60000-80000,Entertainment,SAMSUNG,NA,SAMSUNG S24 5G
Mobile,60000-80000,Entertainment,ONEPLUS,NA,ONEPLUS 13
Mobile,60000-80000,Business,SAMSUNG,NA,SAMSUNG S25 5G
Mobile,60000-80000,Battery-Life,SAMUNG,NA,SAMSUNG S24 ULTRA
Mobile,60000-80000,Business,APPLE,NA,APPLE IPHONE 17
Mobile,80000-100000,Camera,APPLE,NA,APPLE 16 PRO
Mobile,80000-100000,Camera,SAMSUNG,NA,SAMSUNG S25 EDGE
Mobile,80000-100000,Camera,VIVO,NA,VIVO X200 FE
Mobile,80000-100000,Battery-Life,SAMUNG,NA,SAMSUNG S24 ULTRA
Mobile,80000-100000,Battery-Life,VIVO,NA,VIVO X200 FE
Mobile,80000-100000,Entertainment,SAMSUNG,NA,SAMSUNG Z FOLD 6
Mobile,80000-100000,Entertainment,VIVO,NA,VIVO X200 PRO
Mobile,80000-100000,Gaming,APPLE,NA,APPLE IPHONE 16 PRO
Mobile,80000-100000,Gaming,SAMSUNG,NA,SAMSUNG S24 ULTRA
Mobile,80000-100000,Camera,GOOGLE,NA,GOOGLE PIXEL 9 PRO
Mobile,100000 above,Camera,APPLE,NA,APPLE IPHONE 16 PRO MAX
Mobile,100000 above,Camera,APPLE,NA,APPLE IPHONE 17 PRO MAX
Mobile,100000 above,Camera,SAMSUNG,NA,SAMSUNG S25 ULTRA
Mobile,100000 above,Entertainment,SAMSUNG,NA,SAMSUNG S25 ULTRA 
Mobile,100000 above,Battery-Life,SAMSUNG,NA,SAMSUNG S25 ULTRA
Mobile,100000 above,Gaming,APPLE,NA,APPLE IPHONE 17 PRO MAX
Mobile,100000 above,Battery-Life,APPLE,NA,APPLE IPHONE 17 PRO MAX
Mobile,100000 above,Camera,GOOGLE,NA,GOOGLE 10 PRO
Mobile,100000 above,Gaming,SAMSUNG,NA,SAMSUNG S25 ULTRA
Mobile,100000 above,Entertainment,SAMSUNG,NA,SAMSUNG Z FOLD 7
Mobile,100000 above,Entertainment,SAMSUNG,NA,SAMSUNG Z FLIP 7
Mobile,100000 above,Entertainment,APPLE,NA,APPLE IPHONE 17 PRO MAX
Tablet,10000-15000,entertainment,Lenovo,"10.1""",Lenovo Tab M10 3rd Gen
Tablet,15000-20000,study,Samsung,"10.4""",Samsung Galaxy Tab A9
Tablet,20000-25000,reading,Realme,"10.5""",Realme Pad X
Tablet,25000-30000,productivity,Xiaomi,"11""",Xiaomi Pad 6
Tablet,30000-35000,entertainment,OnePlus,"11.6""",OnePlus Pad Go
Tablet,35000-40000,drawing,Apple,"10.9""",Apple iPad 9th Gen
Tablet,40000-45000,gaming,Samsung,"11""",Samsung Galaxy Tab S6 Lite
Tablet,45000-50000,content creation,Lenovo,"12.7""",Lenovo Tab P12
Tablet,50000-55000,media,OnePlus,"11.35""",OnePlus Pad
Tablet,55000-60000,study,Apple,"10.9""",Apple iPad 10th Gen
Tablet,60000-70000,editing,Samsung,"12.4""",Samsung Galaxy Tab S7 FE
Tablet,70000-90000,designing,Apple,"11""",Apple iPad Air (M1)
Tablet,90000-110000,professional use,Apple,"12.9""",Apple iPad Pro (M2)
Tablet,110000-130000,multitasking,Samsung,"14.6""",Samsung Galaxy Tab S8 Ultra
Tablet,130000 above,creative work,Apple,"13""",Apple iPad Pro (M4)
Laptop,25000-30000,study,Acer,NA,Acer One 14
Laptop,30000-35000,office work,HP,NA,HP 255 G9 Ryzen 3
Laptop,35000-40000,basic use,Lenovo,NA,Lenovo IdeaPad 1 Ryzen 3
Laptop,40000-45000,coding,Asus,NA,ASUS Vivobook 15 X1504
Laptop,45000-50000,business,Dell,NA,Dell Inspiron 3520
Laptop,500000-55000,study,HP,NA,HP Laptop 15s Ryzen 5
Laptop,55000-60000,gaming,Acer,NA,Acer Aspire 5 Core i5 13th Gen
Laptop,60000-65000,content creation,Asus,NA,ASUS Vivobook 16
Laptop,65000-70000,designing,Lenovo,NA,Lenovo IdeaPad Slim 5
Laptop,70000-75000,editing,Dell,NA,Dell Inspiron 14 2-in-1
Laptop,75000-80000,software development,HP,NA,HP Pavilion Plus
Laptop,80000-85000,graphic design,Asus,NA,ASUS Zenbook 14 OLED
Laptop,85000-90000,gaming,Acer,NA,Acer Nitro V 15
Laptop,90000-110000,multimedia,Apple,NA,Apple MacBook Air M1
Laptop,110000-130000,professional work,HP,NA,HP Envy x360 Ryzen 7
Laptop,130000-150000,software engineering,Dell,NA,Dell XPS 13
Laptop,150000-180000,creative work,Apple,NA,Apple MacBook Pro M2
Laptop,180000-200000,video editing,Asus,NA,ASUS ROG Zephyrus G14
Laptop,200000 above,AI/ML work,Apple,NA,Apple MacBook Pro M3 Pro
Laptop,200000 above,high-end productivity,MSI,NA,MSI Prestige 16 AI Evo
